"Juris","FULLNAME","RoadSegmentID","KC_FCC","RoadMiles","TrafficIntensity","HeavyVehicleCount","MediumVehicleCount","GenScore","RoadwaySkirtImperviousness","RoadwayDrainage","PctConveyed","StreamWaterCrossing","RoadwayConnectednessScore","TotalScore"
"King County","SE PETROVITSKY RD","PETROVITSKY-80926","Primary",0.2,26020,365,582,4.51,57,"Ditched",100,0,-0.24,4.27
"King County","16TH AVE S","16TH-11032","Primary",0.5,18667,149,1124,4.37,78,"Ditched",100,1,-0.11,4.26
"King County","16TH AVE SW","16TH-11070","Primary",0.1,22201,78,437,4.41,68,NA,100,0,-0.17,4.24
"King County","SW ROXBURY ST","ROXBURY-85965","Primary",0.1,18856,176,457,4.36,71,"Piped",100,0,-0.15,4.21
"King County","140TH AVE SE","140TH-7014","Primary",0.1,27410,79,760,4.51,49,"Piped",100,0,-0.31,4.2
"King County","SW ROXBURY ST","ROXBURY-85969","Primary",0.1,28722,162,804,4.54,46,"Ditched",100,0,-0.34,4.2
"King County","16TH AVE SW","16TH-11084","Primary",0.1,14836,25,199,4.23,89,"Ditched",100,0,-0.05,4.18
"King County","S 277TH ST","277TH-66260","Minor",0.2,34491,122,1020,4.61,37,NA,100,1,-0.43,4.18
"King County","SW ROXBURY ST","ROXBURY-85975","Primary",0.1,13356,129,364,4.21,94,"Piped",100,0,-0.03,4.18
"King County","140TH AVE SE","140TH-7046","Primary",0.2,26546,16,776,4.49,47,"Ditched",100,0,-0.32,4.17
